
gb-z80 mnemonics listed in opcode order.

if you notice any errors or something is missing, please
send me email to vhelin@cc.hut.fi. note that $ed ("DEBUG")
is not a real gb-z80 opcode. it's there for debugging
purposes.


x = 8bit
? = 16bit
s = 8bit 2's complement ([-128, +127])



$00 "NOP"
$cbbe "RES 7,(HL)"
$cbbf "RES 7,A"
$cbc0 "SET 0,B"
$cbc1 "SET 0,C"
$cbc2 "SET 0,D"
$cbc3 "SET 0,E"
$cbc4 "SET 0,H"
$cbc5 "SET 0,L"
$cbc6 "SET 0,(HL)"
$cbc7 "SET 0,A"
$cbc8 "SET 1,B"
$cbc9 "SET 1,C"
$cbca "SET 1,D"
$cbcb "SET 1,E"
$cbcc "SET 1,H"
$cbcd "SET 1,L"
$cbce "SET 1,(HL)"
$cbcf "SET 1,A"
$cbd0 "SET 2,B"
$cbd1 "SET 2,C"
$cbd2 "SET 2,D"
$cbd3 "SET 2,E"
$cbd4 "SET 2,H"
$cbd5 "SET 2,L"
$cbd6 "SET 2,(HL)"
$cbd7 "SET 2,A"
$cbd8 "SET 3,B"
$cbd9 "SET 3,C"
$cbda "SET 3,D"
$cbdb "SET 3,E"
$cbdc "SET 3,H"
$cbdd "SET 3,L"
$cbde "SET 3,(HL)"
$cbdf "SET 3,A"
$cbe0 "SET 4,B"
$cbe1 "SET 4,C"
$cbe2 "SET 4,D"
$cbe3 "SET 4,E"
$cbe4 "SET 4,H"
$cbe5 "SET 4,L"
$cbe6 "SET 4,(HL)"
$cbe7 "SET 4,A"
$cbe8 "SET 5,B"
$cbe9 "SET 5,C"
$cbea "SET 5,D"
$cbeb "SET 5,E"
$cbec "SET 5,H"
$cbed "SET 5,L"
$cbee "SET 5,(HL)"
$cbef "SET 5,A"
$cbf0 "SET 6,B"
$cbf1 "SET 6,C"
$cbf2 "SET 6,D"
$cbf3 "SET 6,E"
$cbf4 "SET 6,H"
$cbf5 "SET 6,L"
$cbf6 "SET 6,(HL)"
$cbf7 "SET 6,A"
$cbf8 "SET 7,B"
$cbf9 "SET 7,C"
$cbfa "SET 7,D"
$cbfb "SET 7,E"
$cbfc "SET 7,H"
$cbfd "SET 7,L"
$cbfe "SET 7,(HL)"
$cbff "SET 7,A"
$cc "CALL Z,?"
$cd "CALL ?"
$ce "ADC x"
$cf "RST 8"
$d0 "RET NC"
$d1 "POP DE"
$d2 "JP NC,?"
$d4 "CALL NC,?"
$d5 "PUSH DE"
$d6 "SUB x"
$d7 "RST 16"
$d8 "RET C"
$d9 "RETI"
$da "JP C,?"
$dc "CALL C,?"
$de "SBC x"
$df "RST 24"
$e0 "LD ($FF00+x),A"
$e0 "LDH (x),A"
$e1 "POP HL"
$e2 "LD ($FF00+C),A"
$e5 "PUSH HL"
$e6 "AND x"
$e7 "RST 32"
$e8 "ADD SP,s"
$e9 "JP HL"
$e9 "LD PC,HL"
$ea "LD (?),A"
$ed "DEBUG"
$ee "XOR x"
$ef "RST 40"
$f0 "LD A,($FF00+x)"
$f0 "LDH A,(x)"
$f1 "POP AF"
$f2 "LD A,($FF00+C)"
$f3 "DI"
$f5 "PUSH AF"
$f6 "OR x"
$f7 "RST 48"
$f8 "LD HL,SPs"
$f9 "LD SP,HL"
$fa "LD A,(?)"
$fb "EI"
$fe "CP x"
$ff "RST 56"
