
65816 mnemonics listed in alphabetical order.

if you notice any errors or something is missing, please
send me email to vhelin@cc.hut.fi.


x = 8bit
? = 16bit
& = 24bit



"ADC ?" $6d
"ORA x,X" $15
"ORA (x),Y" $11
"ORA [x],Y" $17
"ORA ?,Y" $19
"PEA ?" $f4
"PEI (x)" $d4
"PER ?" $62
"PHA" $48
"PHB" $8b
"PHD" $0b
"PHK" $4b
"PHP" $08
"PHX" $da
"PHY" $5a
"PLA" $68
"PLB" $ab
"PLD" $2b
"PLP" $28
"PLX" $fa
"PLY" $7a
"REP #x" $c2
"ROL" $2a
"ROL ?" $2e
"ROL A" $2a
"ROL x" $26
"ROL ?,X" $3e
"ROL x,X" $36
"ROR" $6a
"ROR ?" $6e
"ROR A" $6a
"ROR x" $66
"ROR ?,X" $7e
"ROR x,X" $76
"RTI" $40
"RTL" $6b
"RTS" $60
"SBC ?" $ed
"SBC &" $ef
"SBC x" $e5
"SBC [x]" $e7
"SBC #x" $e9
"SBC (x)" $f2
"SBC ?,X" $fd
"SBC &,X" $ff
"SBC x,S" $e3
"SBC (x,S),Y" $f3
"SBC (x,X)" $e1
"SBC x,X" $f5
"SBC (x),Y" $f1
"SBC [x],Y" $f7
"SBC ?,Y" $f9
"SEC" $38
"SED" $f8
"SEI" $78
"SEP #x" $e2
"STA ?" $8d
"STA &" $8f
"STA x" $85
"STA [x]" $87
"STA (x)" $92
"STA ?,X" $9d
"STA &,X" $9f
"STA x,S" $83
"STA (x,S),Y" $93
"STA (x,X)" $81
"STA x,X" $95
"STA (x),Y" $91
"STA [x],Y" $97
"STA ?,Y" $99
"STP" $db
"STX ?" $8e
"STX x" $86
"STX x,Y" $96
"STY ?" $8c
"STY x" $84
"STY x,X" $94
"STZ ?" $9c
"STZ x" $64
"STZ ?,X" $9e
"STZ x,X" $74
"SWA" $eb
"TAD" $5b
"TAS" $1b
"TAX" $aa
"TAY" $a8
"TCD" $5b
"TCS" $1b
"TDA" $7b
"TDC" $7b
"TRB ?" $1c
"TRB x" $14
"TSA" $3b
"TSB ?" $0c
"TSB x" $04
"TSC" $3b
"TSX" $ba
"TXA" $8a
"TXS" $9a
"TXY" $9b
"TYA" $98
"TYX" $bb
"WAI" $cb
"WDM" $42
"XBA" $eb
"XCE" $fb
