
z80 mnemonics listed in opcode order.

if you notice any errors or something is missing, please
send me email to vhelin@cc.hut.fi.


x = 8bit
? = 16bit
s = 8bit 2's complement ([-128, +127])



$00 "NOP"
$cbc6 "SET 0,(HL)"
$cbc7 "SET 0,A"
$cbc8 "SET 1,B"
$cbc9 "SET 1,C"
$cbca "SET 1,D"
$cbcb "SET 1,E"
$cbcc "SET 1,H"
$cbcd "SET 1,L"
$cbce "SET 1,(HL)"
$cbcf "SET 1,A"
$cbd0 "SET 2,B"
$cbd1 "SET 2,C"
$cbd2 "SET 2,D"
$cbd3 "SET 2,E"
$cbd4 "SET 2,H"
$cbd5 "SET 2,L"
$cbd6 "SET 2,(HL)"
$cbd7 "SET 2,A"
$cbd8 "SET 3,B"
$cbd9 "SET 3,C"
$cbda "SET 3,D"
$cbdb "SET 3,E"
$cbdc "SET 3,H"
$cbdd "SET 3,L"
$cbde "SET 3,(HL)"
$cbdf "SET 3,A"
$cbe0 "SET 4,B"
$cbe1 "SET 4,C"
$cbe2 "SET 4,D"
$cbe3 "SET 4,E"
$cbe4 "SET 4,H"
$cbe5 "SET 4,L"
$cbe6 "SET 4,(HL)"
$cbe7 "SET 4,A"
$cbe8 "SET 5,B"
$cbe9 "SET 5,C"
$cbea "SET 5,D"
$cbeb "SET 5,E"
$cbec "SET 5,H"
$cbed "SET 5,L"
$cbee "SET 5,(HL)"
$cbef "SET 5,A"
$cbf0 "SET 6,B"
$cbf1 "SET 6,C"
$cbf2 "SET 6,D"
$cbf3 "SET 6,E"
$cbf4 "SET 6,H"
$cbf5 "SET 6,L"
$cbf6 "SET 6,(HL)"
$cbf7 "SET 6,A"
$cbf8 "SET 7,B"
$cbf9 "SET 7,C"
$cbfa "SET 7,D"
$cbfb "SET 7,E"
$cbfc "SET 7,H"
$cbfd "SET 7,L"
$cbfe "SET 7,(HL)"
$cbff "SET 7,A"
$cb "RLC B"
$cc "CALL Z,?"
$cd "CALL ?"
$ce "ADC A,x"
$cf "RST 8"
$d0 "RET NC"
$d1 "POP DE"
$d2 "JP NC,?"
$d3 "OUT (x),A"
$d4 "CALL NC,?"
$d5 "PUSH DE"
$d6 "SUB x"
$d7 "RST 16"
$d8 "RET C"
$d9 "EXX"
$da "JP C,?"
$db "IN A,(x)"
$db "IN A,x"
$dc "CALL C,?"
$dd09 "ADD IX,BC"
$dd19 "ADD IX,DE"
$dd21 "LD IX,?"
$dd22 "LD (?),IX"
$dd23 "INC IX"
$dd24 "INC IXH"
$dd25 "DEC IXH"
$dd26 "LD IXH,x"
$dd29 "ADD IX,IX"
$dd2a "LD IX,(?)"
$dd2b "DEC IX"
$dd2c "INC IXL"
$dd2d "DEC IXL"
$dd2e "LD IXL,x"
$dd34 "INC (IXs)"
$dd35 "DEC (IXs)"
$dd36 "LD (IXs),x"
$dd39 "ADD IX,SP"
$dd44 "LD B,IXH"
$dd45 "LD B,IXL"
$dd46 "LD B,(IXs)"
$dd4c "LD C,IXH"
$dd4d "LD C,IXL"
$dd4e "LD C,(IXs)"
$dd54 "LD D,IXH"
$dd55 "LD D,IXL"
$dd56 "LD D,(IXs)"
$dd5c "LD E,IXH"
$dd5d "LD E,IXL"
$dd5e "LD E,(IXs)"
$dd60 "LD IXH,B"
$dd61 "LD IXH,C"
$dd62 "LD IXH,D"
$dd63 "LD IXH,E"
$dd64 "LD IXH,IXH"
$dd65 "LD IXH,IXL"
$dd66 "LD H,(IXs)"
$dd67 "LD IXH,A"
$dd68 "LD IXL,B"
$dd69 "LD IXL,C"
$dd6a "LD IXL,D"
$dd6b "LD IXL,E"
$dd6c "LD IXL,IXH"
$dd6d "LD IXL,IXL"
$dd6e "LD L,(IXs)"
$dd6f "LD IXL,A"
$dd70 "LD (IXs),B"
$dd71 "LD (IXs),C"
$dd72 "LD (IXs),D"
$dd73 "LD (IXs),E"
$dd74 "LD (IXs),H"
$dd75 "LD (IXs),L"
$dd77 "LD (IXs),A"
$dd7c "LD A,IXH"
$dd7d "LD A,IXL"
$dd7e "LD A,(IXs)"
$dd84 "ADD A,IXH"
$dd85 "ADD A,IXL"
$dd86 "ADD A,(IXs)"
$dd8c "ADC A,IXH"
$dd8d "ADC A,IXL"
$dd8e "ADC A,(IXs)"
$dd94 "SUB A,IXH"
$dd95 "SUB A,IXL"
$dd96 "SUB (IXs)"
$dd9c "SBC A,IXH"
$dd9d "SBC A,IXL"
$dd9e "SBC A,(IXs)"
$dda4 "AND IXH"
$dda5 "AND IXL"
$dda6 "AND (IXs)"
$ddac "XOR IXH"
$ddad "XOR IXL"
$ddae "XOR (IXs)"
$ddb4 "OR IXH"
$ddb5 "OR IXL"
$ddb6 "OR (IXs)"
$ddbc "CP IXH"
$ddbd "CP IXL"
$ddbe "CP (IXs)"
$ddcb x $00 "LD B,RLC (IXs)"
$ddcb x $01 "LD C,RLC (IXs)"
$ddcb x $02 "LD D,RLC (IXs)"
$ddcb x $03 "LD E,RLC (IXs)"
$ddcb x $04 "LD H,RLC (IXs)"
$ddcb x $05 "LD L,RLC (IXs)"
$ddcb x $06 "RLC (IXs)"
$ddcb x $07 "LD A,RLC (IXs)"
$ddcb x $08 "LD B,RRC (IXs)"
$ddcb x $09 "LD C,RRC (IXs)"
$ddcb x $0a "LD D,RRC (IXs)"
$ddcb x $0b "LD E,RRC (IXs)"
$ddcb x $0c "LD H,RRC (IXs)"
$ddcb x $0d "LD L,RRC (IXs)"
$ddcb x $0e "RRC (IXs)"
$ddcb x $0f "LD A,RRC (IXs)"
$ddcb x $10 "LD B,RL (IXs)"
$ddcb x $11 "LD C,RL (IXs)"
$ddcb x $12 "LD D,RL (IXs)"
$ddcb x $13 "LD E,RL (IXs)"
$ddcb x $14 "LD H,RL (IXs)"
$ddcb x $15 "LD L,RL (IXs)"
$ddcb x $16 "RL (IXs)"
$ddcb x $17 "LD A,RL (IXs)"
$ddcb x $18 "LD B,RR (IXs)"
$ddcb x $19 "LD C,RR (IXs)"
$ddcb x $1a "LD D,RR (IXs)"
$ddcb x $1b "LD E,RR (IXs)"
$ddcb x $1c "LD H,RR (IXs)"
$ddcb x $1d "LD L,RR (IXs)"
$ddcb x $1e "RR (IXs)"
$ddcb x $1f "LD A,RR (IXs)"
$ddcb x $20 "LD B,SLA (IXs)"
$ddcb x $21 "LD C,SLA (IXs)"
$ddcb x $22 "LD D,SLA (IXs)"
$ddcb x $23 "LD E,SLA (IXs)"
$ddcb x $24 "LD H,SLA (IXs)"
$ddcb x $25 "LD L,SLA (IXs)"
$ddcb x $26 "SLA (IXs)"
$ddcb x $27 "LD A,SLA (IXs)"
$ddcb x $28 "LD B,SRA (IXs)"
$ddcb x $29 "LD C,SRA (IXs)"
$ddcb x $2a "LD D,SRA (IXs)"
$ddcb x $2b "LD E,SRA (IXs)"
$ddcb x $2c "LD H,SRA (IXs)"
$ddcb x $2d "LD L,SRA (IXs)"
$ddcb x $2e "SRA (IXs)"
$ddcb x $2f "LD A,SRA (IXs)"
$ddcb x $30 "LD B,SLL (IXs)"
$ddcb x $31 "LD C,SLL (IXs)"
$ddcb x $32 "LD D,SLL (IXs)"
$ddcb x $33 "LD E,SLL (IXs)"
$ddcb x $34 "LD H,SLL (IXs)"
$ddcb x $35 "LD L,SLL (IXs)"
$ddcb x $36 "SLL (IXs)"
$ddcb x $37 "LD A,SLL (IXs)"
$ddcb x $38 "LD B,SRL (IXs)"
$ddcb x $39 "LD C,SRL (IXs)"
$ddcb x $3a "LD D,SRL (IXs)"
$ddcb x $3b "LD E,SRL (IXs)"
$ddcb x $3c "LD H,SRL (IXs)"
$ddcb x $3d "LD L,SRL (IXs)"
$ddcb x $3e "SRL (IXs)"
$ddcb x $3f "LD A,SRL (IXs)"
$ddcb x $46 "BIT 0,(IXs)"
$ddcb x $4e "BIT 1,(IXs)"
$ddcb x $56 "BIT 2,(IXs)"
$ddcb x $5e "BIT 3,(IXs)"
$ddcb x $66 "BIT 4,(IXs)"
$ddcb x $6e "BIT 5,(IXs)"
$ddcb x $76 "BIT 6,(IXs)"
$ddcb x $7e "BIT 7,(IXs)"
$ddcb x $80 "LD B,RES 0,(IXs)"
$ddcb x $81 "LD C,RES 0,(IXs)"
$ddcb x $82 "LD D,RES 0,(IXs)"
$ddcb x $83 "LD E,RES 0,(IXs)"
$ddcb x $84 "LD H,RES 0,(IXs)"
$ddcb x $85 "LD L,RES 0,(IXs)"
$ddcb x $86 "RES 0,(IXs)"
$ddcb x $87 "LD A,RES 0,(IXs)"
$ddcb x $88 "LD B,RES 1,(IXs)"
$ddcb x $89 "LD C,RES 1,(IXs)"
$ddcb x $8a "LD D,RES 1,(IXs)"
$ddcb x $8b "LD E,RES 1,(IXs)"
$ddcb x $8c "LD H,RES 1,(IXs)"
$ddcb x $8d "LD L,RES 1,(IXs)"
$ddcb x $8e "RES 1,(IXs)"
$ddcb x $8f "LD A,RES 1,(IXs)"
$ddcb x $90 "LD B,RES 2,(IXs)"
$ddcb x $91 "LD C,RES 2,(IXs)"
$ddcb x $92 "LD D,RES 2,(IXs)"
$ddcb x $93 "LD E,RES 2,(IXs)"
$ddcb x $94 "LD H,RES 2,(IXs)"
$ddcb x $95 "LD L,RES 2,(IXs)"
$ddcb x $96 "RES 2,(IXs)"
$ddcb x $97 "LD A,RES 2,(IXs)"
$ddcb x $98 "LD B,RES 3,(IXs)"
$ddcb x $99 "LD C,RES 3,(IXs)"
$ddcb x $9a "LD D,RES 3,(IXs)"
$ddcb x $9b "LD E,RES 3,(IXs)"
$ddcb x $9c "LD H,RES 3,(IXs)"
$ddcb x $9d "LD L,RES 3,(IXs)"
$ddcb x $9e "RES 3,(IXs)"
$ddcb x $9f "LD A,RES 3,(IXs)"
$ddcb x $a0 "LD B,RES 4,(IXs)"
$ddcb x $a1 "LD C,RES 4,(IXs)"
$ddcb x $a2 "LD D,RES 4,(IXs)"
$ddcb x $a3 "LD E,RES 4,(IXs)"
$ddcb x $a4 "LD H,RES 4,(IXs)"
$ddcb x $a5 "LD L,RES 4,(IXs)"
$ddcb x $a6 "RES 4,(IXs)"
$ddcb x $a7 "LD A,RES 4,(IXs)"
$ddcb x $a8 "LD B,RES 5,(IXs)"
$ddcb x $a9 "LD C,RES 5,(IXs)"
$ddcb x $aa "LD D,RES 5,(IXs)"
$ddcb x $ab "LD E,RES 5,(IXs)"
$ddcb x $ac "LD H,RES 5,(IXs)"
$ddcb x $ad "LD L,RES 5,(IXs)"
$ddcb x $ae "RES 5,(IXs)"
$ddcb x $af "LD A,RES 5,(IXs)"
$ddcb x $b0 "LD B,RES 6,(IXs)"
$ddcb x $b1 "LD C,RES 6,(IXs)"
$ddcb x $b2 "LD D,RES 6,(IXs)"
$ddcb x $b3 "LD E,RES 6,(IXs)"
$ddcb x $b4 "LD H,RES 6,(IXs)"
$ddcb x $b5 "LD L,RES 6,(IXs)"
$ddcb x $b6 "RES 6,(IXs)"
$ddcb x $b7 "LD A,RES 6,(IXs)"
$ddcb x $b8 "LD B,RES 7,(IXs)"
$ddcb x $b9 "LD C,RES 7,(IXs)"
$ddcb x $ba "LD D,RES 7,(IXs)"
$ddcb x $bb "LD E,RES 7,(IXs)"
$ddcb x $bc "LD H,RES 7,(IXs)"
$ddcb x $bd "LD L,RES 7,(IXs)"
$ddcb x $be "RES 7,(IXs)"
$ddcb x $bf "LD A,RES 7,(IXs)"
$ddcb x $c0 "LD B,SET 0,(IXs)"
$ddcb x $c1 "LD C,SET 0,(IXs)"
$ddcb x $c2 "LD D,SET 0,(IXs)"
$ddcb x $c3 "LD E,SET 0,(IXs)"
$ddcb x $c4 "LD H,SET 0,(IXs)"
$ddcb x $c5 "LD L,SET 0,(IXs)"
$ddcb x $c6 "SET 0,(IXs)"
$ddcb x $c7 "LD A,SET 0,(IXs)"
$ddcb x $c8 "LD B,SET 1,(IXs)"
$ddcb x $c9 "LD C,SET 1,(IXs)"
$ddcb x $ca "LD D,SET 1,(IXs)"
$ddcb x $cb "LD E,SET 1,(IXs)"
$ddcb x $cc "LD H,SET 1,(IXs)"
$ddcb x $cd "LD L,SET 1,(IXs)"
$ddcb x $ce "SET 1,(IXs)"
$ddcb x $cf "LD A,SET 1,(IXs)"
$ddcb x $d0 "LD B,SET 2,(IXs)"
$ddcb x $d1 "LD C,SET 2,(IXs)"
$ddcb x $d2 "LD D,SET 2,(IXs)"
$ddcb x $d3 "LD E,SET 2,(IXs)"
$ddcb x $d4 "LD H,SET 2,(IXs)"
$ddcb x $d5 "LD L,SET 2,(IXs)"
$ddcb x $d6 "SET 2,(IXs)"
$ddcb x $d7 "LD A,SET 2,(IXs)"
$ddcb x $d8 "LD B,SET 3,(IXs)"
$ddcb x $d9 "LD C,SET 3,(IXs)"
$ddcb x $da "LD D,SET 3,(IXs)"
$ddcb x $db "LD E,SET 3,(IXs)"
$ddcb x $dc "LD H,SET 3,(IXs)"
$ddcb x $dd "LD L,SET 3,(IXs)"
$ddcb x $de "SET 3,(IXs)"
$ddcb x $df "LD A,SET 3,(IXs)"
$ddcb x $e0 "LD B,SET 4,(IXs)"
$ddcb x $e1 "LD C,SET 4,(IXs)"
$ddcb x $e2 "LD D,SET 4,(IXs)"
$ddcb x $e3 "LD E,SET 4,(IXs)"
$ddcb x $e4 "LD H,SET 4,(IXs)"
$ddcb x $e5 "LD L,SET 4,(IXs)"
$ddcb x $e6 "SET 4,(IXs)"
$ddcb x $e7 "LD A,SET 4,(IXs)"
$ddcb x $e8 "LD B,SET 5,(IXs)"
$ddcb x $e9 "LD C,SET 5,(IXs)"
$ddcb x $ea "LD D,SET 5,(IXs)"
$ddcb x $eb "LD E,SET 5,(IXs)"
$ddcb x $ec "LD H,SET 5,(IXs)"
$ddcb x $ed "LD L,SET 5,(IXs)"
$ddcb x $ee "SET 5,(IXs)"
$ddcb x $ef "LD A,SET 5,(IXs)"
$ddcb x $f0 "LD B,SET 6,(IXs)"
$ddcb x $f1 "LD C,SET 6,(IXs)"
$ddcb x $f2 "LD D,SET 6,(IXs)"
$ddcb x $f3 "LD E,SET 6,(IXs)"
$ddcb x $f4 "LD H,SET 6,(IXs)"
$ddcb x $f5 "LD L,SET 6,(IXs)"
$ddcb x $f6 "SET 6,(IXs)"
$ddcb x $f7 "LD A,SET 6,(IXs)"
$ddcb x $f8 "LD B,SET 7,(IXs)"
$ddcb x $f9 "LD C,SET 7,(IXs)"
$ddcb x $fa "LD D,SET 7,(IXs)"
$ddcb x $fb "LD E,SET 7,(IXs)"
$ddcb x $fc "LD H,SET 7,(IXs)"
$ddcb x $fd "LD L,SET 7,(IXs)"
$ddcb x $fe "SET 7,(IXs)"
$ddcb x $ff "LD A,SET 7,(IXs)"
$dde1 "POP IX"
$dde3 "EX (SP),IX"
$dde5 "PUSH IX"
$dde9 "JP (IX)"
$ddf9 "LD SP,IX"
$de "SBC A,x"
$df "RST 24"
$e0 "RET PO"
$e1 "POP HL"
$e2 "JP PO,?"
$e3 "EX (SP),HL"
$e4 "CALL PO,?"
$e5 "PUSH HL"
$e6 "AND x"
$e7 "RST 32"
$e8 "RET PE"
$e9 "JP (HL)"
$ea "JP PE,?"
$eb "EX DE,HL"
$ec "CALL PE,?"
$ed40 "IN B,(C)"
$ed41 "OUT (C),B"
$ed42 "SBC HL,BC"
$ed43 "LD (?),BC"
$ed44 "NEG"
$ed45 "RETN"
$ed46 "IM 0"
$ed47 "LD I,A"
$ed48 "IN C,(C)"
$ed49 "OUT (C),C"
$ed4a "ADC HL,BC"
$ed4b "LD BC,(?)"
$ed4d "RETI"
$ed4f "LD R,A"
$ed50 "IN D,(C)"
$ed51 "OUT (C),D"
$ed52 "SBC HL,DE"
$ed53 "LD (?),DE"
$ed56 "IM 1"
$ed57 "LD A,I"
$ed58 "IN E,(C)"
$ed59 "OUT (C),E"
$ed5a "ADC HL,DE"
$ed5b "LD DE,(?)"
$ed5e "IM 2"
$ed5f "LD A,R"
$ed60 "IN H,(C)"
$ed61 "OUT (C),H"
$ed62 "SBC HL,HL"
$ed67 "RRD"
$ed68 "IN L,(C)"
$ed69 "OUT (C),L"
$ed6a "ADC HL,HL"
$ed6f "RLD"
$ed70 "IN (C)"
$ed70 "IN F,(C)"
$ed71 "OUT (C),0"
$ed72 "SBC HL,SP"
$ed73 "LD (?),SP"
$ed78 "IN A,(C)"
$ed79 "OUT (C),A"
$ed7a "ADC HL,SP"
$ed7b "LD SP,(?)"
$eda0 "LDI"
$eda1 "CPI"
$eda2 "INI"
$eda3 "OUTI"
$eda8 "LDD"
$eda9 "CPD"
$edaa "IND"
$edab "OUTD"
$edb0 "LDIR"
$edb1 "CPIR"
$edb2 "INIR"
$edb3 "OTIR"
$edb8 "LDDR"
$edb9 "CPDR"
$edba "INDR"
$edbb "OTDR"
$ee "XOR x"
$ef "RST 40"
$f0 "RET P"
$f1 "POP AF"
$f2 "JP P,?"
$f3 "DI"
$f4 "CALL P,?"
$f5 "PUSH AF"
$f6 "OR x"
$f7 "RST 48"
$f8 "RET M"
$f9 "LD SP,HL"
$fa "JP M,?"
$fb "EI"
$fc "CALL M,?"
$fd09 "ADD IY,BC"
$fd19 "ADD IY,DE"
$fd21 "LD IY,?"
$fd22 "LD (?),IY"
$fd23 "INC IY"
$fd24 "INC IYH"
$fd25 "DEC IYH"
$fd26 "LD IYH,x"
$fd29 "ADD IY,IY"
$fd2a "LD IY,(?)"
$fd2b "DEC IY"
$fd2c "INC IYL"
$fd2d "DEC IYL"
$fd2e "LD IYL,x"
$fd34 "INC (IYs)"
$fd35 "DEC (IYs)"
$fd36 "LD (IYs),x"
